,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Date,Longitude,Latitude,ClosedCases,ClosedDeathRate,CurrentDeathRate,Weight,DeathRateXWeight,notes
0,1.0,USA,1686436,0.0,99300.0,0.0,451702.0,1135434.0,17135.0,5098.0,300.0,14749756.0,44587.0,330806424.0,2020-05-25 05:27:12.858800,-97.922211,39.381266,551002.0,0.18021713169825154,0.058881570364959,0.2078565726952147,0.0122389214109725,Last 8 columns are added by Roaya
1,2.0,Brazil,365213,1595.0,22746.0,30.0,149911.0,192556.0,8318.0,1719.0,107.0,735224.0,3461.0,212405664.0,2020-05-25 05:27:12.858800,-53.09783113,-10.78777702,172657.0,0.13174096619308803,0.06228146314616402,0.06513205446048778,0.0040565196495148175,Last 8 columns are added by Roaya
2,3.0,Russia,353427,8946.0,3633.0,92.0,118798.0,230996.0,2300.0,2422.0,25.0,8945384.0,61300.0,145928315.0,2020-05-25 05:27:12.858800,96.68656112,61.98052209,122431.0,0.029673857111352515,0.010279350474072439,0.04618511012963262,0.00047475293370612684,Last 8 columns are added by Roaya
3,4.0,Spain,282852,0.0,28752.0,0.0,196958.0,57142.0,854.0,6050.0,615.0,3556567.0,76071.0,46752999.0,2020-05-25 05:27:12.858800,-3.64755047,40.24448698,225710.0,0.12738469717779452,0.10165033303635823,0.08514543871535296,0.008655062201942459,Last 8 columns are added by Roaya
4,5.0,UK,259559,0.0,36793.0,0.0,0.0,0.0,1559.0,3825.0,542.0,3458905.0,50979.0,67850075.0,2020-05-25 05:27:12.858800,-2.86563164,54.12387156,36793.0,1.0,0.1417519716133904,0.013879562831305576,0.0019674553964694965,Last 8 columns are added by Roaya
5,6.0,Italy,229858,0.0,32785.0,0.0,140479.0,56594.0,553.0,3801.0,542.0,3447012.0,57003.0,60470472.0,2020-05-25 05:27:12.858800,12.07001339,42.79662641,173264.0,0.18921991873672547,0.14263153773199105,0.06536103537094907,0.009322544982713525,Last 8 columns are added by Roaya
6,7.0,France,182584,0.0,28367.0,0.0,64617.0,89600.0,1655.0,2798.0,435.0,1384633.0,21217.0,65259187.0,2020-05-25 05:27:12.858800,2.6187869999999998,47.824905,92984.0,0.3050739912242966,0.15536410638391096,0.03507670671883559,0.005449661194262417,Last 8 columns are added by Roaya
7,8.0,Germany,180328,0.0,8371.0,0.0,161200.0,10757.0,889.0,2153.0,100.0,3595059.0,42922.0,83757235.0,2020-05-25 05:27:12.858800,10.38578051,51.10698181,169571.0,0.04936575239870025,0.04642096623929728,0.06396791098489707,0.0029694522362282805,Last 8 columns are added by Roaya
8,9.0,Turkey,156827,0.0,4340.0,0.0,118694.0,33793.0,769.0,1862.0,52.0,1832262.0,21749.0,84244944.0,2020-05-25 05:27:12.858800,35.16895346,39.0616029,123034.0,0.03527480208722792,0.027673806168580665,0.04641258210493437,0.0012844128009552893,Last 8 columns are added by Roaya
9,10.0,India,139237,701.0,4024.0,0.0,57745.0,77468.0,8944.0,101.0,3.0,3033591.0,2200.0,1378604014.0,2020-05-25 05:27:12.858800,79.61197609999999,22.88578212,61769.0,0.06514594699606599,0.028900364127351207,0.023301353967518663,0.0006734176143215891,Last 8 columns are added by Roaya
10,11.0,Iran,135701,0.0,7417.0,0.0,105801.0,22483.0,2615.0,1618.0,88.0,800519.0,9544.0,83880266.0,2020-05-25 05:27:12.858800,54.27407004,32.57503292,113218.0,0.06551078450423077,0.05465692957310558,0.0427096552234054,0.0023343786176372896,Last 8 columns are added by Roaya
11,12.0,Peru,119959,0.0,3456.0,0.0,49795.0,66708.0,920.0,3644.0,105.0,820967.0,24936.0,32923430.0,2020-05-25 05:27:12.858800,-74.38242685,-9.15280381,53251.0,0.06490018966779966,0.028809843363149075,0.020088076545262772,0.0005787343387359693,Last 8 columns are added by Roaya
12,13.0,Canada,84699,0.0,6424.0,0.0,43985.0,34290.0,502.0,2246.0,170.0,1459288.0,38700.0,37708187.0,2020-05-25 05:27:12.858800,-98.30777028,61.36206324,50409.0,0.12743756075304014,0.07584505129930695,0.019015978114404447,0.0014422678355935036,Last 8 columns are added by Roaya
13,14.0,Saudi Arabia,72560,0.0,390.0,0.0,43520.0,28650.0,372.0,2088.0,11.0,703534.0,20242.0,34756224.0,2020-05-25 05:27:12.858800,44.53686271,24.12245841,43910.0,0.00888180368936461,0.0053748621830209484,0.016564335713930036,8.903102161566585e-05,Last 8 columns are added by Roaya
