country,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1.25,1.4,1,1,1.571428571,1.454545455,1.3125,1.047619048,1,1,1.090909091,1,1.666666667,1,1.85,1.135135135,1.119047619,1.170212766
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1.2,1.916666667,1.434782609,1.151515152,1.105263158,1.214285714,1.078431373,1.072727273,1.084745763,1.09375,1.085714286,1.171052632,1.168539326,1.182692308,1.18699187,1.191780822,1.068965517
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1.666666667,2.4,1,1.416666667,1,1.117647059,1.052631579,1,1,1.2,1.083333333,1.423076923,1.297297297,1.125,1.111111111,1.233333333,1.175675676,1.034482759,1.544444444,1.446043165,1.144278607,1.147826087,1.143939394,1.215231788,1.114441417
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,19.5,1,1.358974359,1.41509434,1.173333333,1.284090909,1.17699115,1.233082707,1.146341463,1.191489362,1.191964286
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.5,1,1,1.333333333,1
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,1,1,2.333333333,1
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,1.5,1,1.416666667,1.117647059,1,1.631578947,1.096774194,1.323529412,1.244444444,1.214285714,1.161764706,1.227848101,1.319587629,1.234375,1.683544304,1.131578947,1.285714286,1,1.297157623,1.173306773
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,2,2.25,1.444444444,2,1.5,1.076923077,1.369047619,1.182608696,1.176470588,1.2125,1.211340206,1.059574468,1.064257028,1.094339623,1.134482759
Australia,0,0,0,0,4,1.25,1,1.2,1.5,1,1.333333333,1,1,1.083333333,1,1.076923077,1.071428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.666666667,1.08,1.111111111,1.3,1.333333333,1.057692308,1.090909091,1.05,1.206349206,1.197368421,1.175824176,1.196261682,1,1.5625,1.25,1.188,1.269360269,1.198938992,1.256637168,1.198943662,1.161527166,1.353982301,1.446311858,1.085861846,1.215219976,1.156555773,1.188663283,1.118505338
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.5,1,3,1.555555556,1.285714286,1.166666667,1.380952381,1.413793103,1.341463415,1.436363636,1.316455696,1.259615385,1.389312977,1.351648352,1.227642276,1.668874172,1.299603175,1.312977099,1.18372093,1.308447937,1.235735736,1.222964763,1.186289121,1.17839196,1.272921109,1.249022892,1.18082253,1.057732349,1.236399427,1.108264582
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,1,1.5,1,1,1.222222222,1,1,1.363636364,1,1.533333333,1.217391304,1,1,1.571428571,1,1.204545455,1.226415094,1.107692308,1.208333333,1.068965517,1.311827957,1.352459016
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1.333333333,1,1,1.25,1,1.8,1.111111111
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1.434782609,1,1.090909091,1.138888889,1.146341463,1.042553191,1,1.06122449,1.057692308,1.090909091,1.416666667,1,1.117647059,1.157894737,1.772727273,1,1,1.076923077,1.019047619,1,1.065420561,1.122807018,1.0859375,1.025179856,1.070175439,1.095081967,1.128742515,1.039787798,1.068877551,1.093078759,1.017467249
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1.666666667,1.6,1.25,1.4,1.214285714,1.176470588,1.25,1.08,1.222222222,1.181818182,1,1.128205128,1.090909091
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2.5,1,1.2,2.333333333,1.214285714,1.058823529,1,1,1.333333333
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,1,1,1,1,1,1.5,1,1.333333333,2.25,1,1,1.333333333,1,1.416666667,1,1.352941176,1.101449275,1,1.065789474,1,1.061728395,1,1.093023256
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1.625,1.769230769,2.173913043,2.18,1.550458716,1.183431953,1.195,1.117154812,1.176029963,1,1.780254777,1.23255814,1.285921626,1.194130926,1.174858223,1.195494771,1.207940781,1.257381616,1.247230837,1.208170515,1.100558659,1.140528987,1.156476927,1.2629127,1.168243785
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,2.5,1.2,1,1,1
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.5
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.5,3.333333333,1,1.1,1,1.090909091,1,1.25,1.266666667,1.263157895,1.125,1.074074074,1.103448276,1.34375,1.418604651
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.5,1,1,1.666666667,1.4,1.571428571,1.181818182,1.384615385,1.333333333,1.041666667,1.04,1.461538462,1.657894737,1.412698413,1.04494382,1.35483871,1.079365079,1.220588235,1.060240964,1.085227273,1.240837696
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2,1,3.25,1,1.538461538,1.25,1.24,1.225806452,1.368421053,2.903846154,1,1.072847682,1.234567901,1.605,1.158878505,1.669354839,1.276972625,1.287515763,1.514201763,1.24450194,1.167879418,1.136626613,1.168754894,1.144723618
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,3.363636364,1.081081081,1.25,1.08,1.037037037,1.214285714,1.102941176,1.04,1.064102564,1.060240964,1.034090909,1.142857143,1.048076923,1.04587156,1.00877193
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1.75,1,3.285714286,1.782608696,1.243902439,1.019607843,1.288461538,1.373134328,1.02173913,1.35106383,1.283464567,1.147239264,1.07486631,1.084577114,1.110091743,1.090909091,1.109848485
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1.5,5,1,1.333333333,1.65,1.212121212,1.6,1.171875,1.32,1.151515152,1.280701754,1.04109589,1.184210526
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1.333333333,1,1.25
Cambodia,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1.5,1,1.666666667,1.4,1,1,4.714285714,1.060606061,1.057142857,1.378378378,1.039215686,1.58490566,1.035714286,1.045977011,1.054945055,1,1.03125
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,2,2.5,1,1.3,1.538461538,1.35,1.481481481,1.4,1.178571429,1.136363636,1,1.213333333
Canada,0,0,0,0,1,1,2,1,1,2,1,1,1,1,1.25,1,1.4,1,1,1,1,1,1,1,1,1,1.142857143,1,1,1,1.125,1,1,1.111111111,1.1,1,1.181818182,1.076923077,1.428571429,1.2,1.125,1.111111111,1.1,1.121212121,1.324324324,1.102040816,1.185185185,1.203125,1.025974026,1.367088608,1.083333333,1.64957265,1.025906736,1.272727273,1.646825397,1.151807229,1.374476987,1.217656012,1.17875,1.354188759,1.150352388,1.421375085,1.336206897,1.165232975,1.243309751,1.158337457
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1,1,1,1,1
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,2,1,1.625,1.769230769,1,1.869565217,1.418604651,1.213114754,2.094594595,1.296774194,1.184079602,1,1.823529412,1.237327189,1.176908752,1.180379747,1.235924933,1.238611714,1.143607706,1.232771822
China,548,1.173357664,1.430793157,1.52826087,1.475817923,1.386506024,1.914841849,1.104919223,1.337440447,1.204028989,1.213119771,1.398536708,1.18556825,1.202424427,1.15746404,1.114686589,1.115179651,1.07927294,1.081898191,1.063396018,1.047976578,1.008403551,1.338166626,1.107905501,1.030968384,1.03069592,1.027243203,1.024532678,1.005497837,1.006137847,1.006300198,1.019205824,1.000272724,1.002843343,1.00664155,1.005298763,1.005552286,1.004173028,1.005422664,1.00725843,1.002552169,1.001559848,1.001557419,1.001878437,1.001899748,1.000991449,1.000656184,1.00045779,1.00033391,1.000420339,1.000135935,1.000160629,1.00039533,1.000321079,1.000370357,1.000308516,1.000542821,1.000665828,1.001158263,1.000676923,1.001598918,1.000773623,1.001141132,1.000857938,1.001481735,1.001406177
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,1,1.444444444,1.692307692,1.545454545,1.588235294,1.203703704,1.430769231,1.096774194,1.254901961,1.53125,1.178571429,1.199134199,1.364620939,1.243386243,1.044680851,1.097759674
Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,1.333333333,1,1,1,1
Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1.5,1.333333333,3.5,1.285714286,1.277777778,1.304347826,1.2,1.25,1.066666667,1.0625,1
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1.8,1,1.444444444,1.692307692,1.045454545,1.130434783,1.038461538,1.296296296,1.171428571,1.219512195,1.38,1.289855072,1.314606742,1.145299145,1.179104478,1.120253165,1.13559322,1.149253731,1.138528139
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,1.2,1.5,1,1.555555556,1,1.785714286,2.92,1.095890411,1.2,1.052083333
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1.666666667,1.2,1.166666667,1,1.285714286,1.111111111,1,1.1,1.090909091,1,1,1.166666667,1.357142857,1,1.684210526,1.1875,1.289473684,1.163265306,1.140350877,1.246153846,1.296296296,1.219047619,1.609375,1.233009709,1.24015748,1.212698413,1.157068063,1.119909502,1.183838384
Diamond Princess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,1.049180328,2.109375,1,1.296296296,1,1.245714286,1.30733945,1.245614035,1.278873239,1.193832599,1.145756458,1.020933977,1,1,1.089905363,1,1,1.020260492,1,1,1,1,1,1.00141844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.008498584,1,1,1,1,1,1,1,1,1
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.333333333,1,1,1,1.25,1.4,1.571428571,1.454545455,1.3125,1.666666667,1.142857143,1.2,1.1875,1.175438596,1.194029851
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,2,1,2.333333333,1.857142857,1,1.269230769,1.393939394,1.065217391,1.367346939,1,1.253731343,1.130952381,1.221052632,1.068965517,1.064516129,1.106060606,1.109589041
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.666666667,1.6,1.5,1.5,1.055555556,1.631578947,1,1.322580645,2.219512195,1.032967033,1.5,1.340425532,1.338624339,1.177865613,1.32885906,1.171717172,1.495689655,1.200288184,1.194477791,1.125628141,1.103571429,1.127831715,1.18651363,1.163845224,1.183896104
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1.333333333,1,1.5,1.833333333,1,2.181818182,1,1.541666667,2.486486486,2.869565217,1.681818182,1.38963964,1.303079417,1.039800995,1.046650718,1.066285714,1.098606645,1.088780488,1.097670251,1.091428571,1.062079282,1.066197183,1.038309115,1.092875318,1.083818393,1.086466165,1.087493821
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,3.666666667,1,1.090909091
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2.5,1,1,1,1,1,2.2,1,1,1.909090909,1,1.619047619,2.117647059,1.555555556,1.803571429,1.212871287,1.273469388,1.256410256,1.244897959,1.19057377
