,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Date,Longitude,Latitude,ClosedCases,ClosedDeathRate,CurrentDeathRate,Weight,DeathRateXWeight,notes
0,1.0,USA,1593039,316.0,94941.0,5.0,370812.0,1127286.0,17815.0,4816.0,287.0,14173807.0,42849.0,330785250.0,2020-05-21 01:52:27.913081,-97.922211,39.381266,465753.0,0.2038440976225596,0.05959741098617171,0.19834156433102793,0.011820643725076487,Last 8 columns are added by Roaya
1,2.0,Russia,308705,0.0,2972.0,0.0,85392.0,220341.0,2300.0,2115.0,20.0,7578029.0,51930.0,145927633.0,2020-05-21 01:52:27.913081,96.68656112,61.98052209,88364.0,0.03363360644606401,0.009627314102460278,0.03762993258346581,0.0003622751806354299,Last 8 columns are added by Roaya
2,3.0,Brazil,293357,0.0,18894.0,0.0,116683.0,157780.0,8318.0,1381.0,89.0,735224.0,3462.0,212389176.0,2020-05-21 01:52:27.913081,-53.09783113,-10.78777702,135577.0,0.1393599209305413,0.06440616722968942,0.05773565445055163,0.0037185322156577903,Last 8 columns are added by Roaya
3,4.0,Spain,279524,0.0,27888.0,0.0,196958.0,54678.0,1152.0,5979.0,596.0,3037840.0,64977.0,46752802.0,2020-05-21 01:52:27.913081,-3.64755047,40.24448698,224846.0,0.124031559378419,0.09976960833416809,0.09575098254562892,0.009553038026189162,Last 8 columns are added by Roaya
4,5.0,UK,248293,0.0,35704.0,0.0,0.0,0.0,1559.0,3660.0,526.0,2962227.0,43661.0,67846185.0,2020-05-21 01:52:27.913081,-2.86563164,54.12387156,35704.0,1.0,0.14379785173162352,0.015204598173012349,0.0021863885537217434,Last 8 columns are added by Roaya
5,6.0,Italy,227364,0.0,32330.0,0.0,132282.0,62752.0,676.0,3760.0,535.0,3171719.0,52450.0,60471440.0,2020-05-21 01:52:27.913081,12.07001339,42.79662641,164612.0,0.1964012344179039,0.1421948945303566,0.07010024967667233,0.009967897609326088,Last 8 columns are added by Roaya
6,7.0,France,181575,0.0,28132.0,0.0,63354.0,90089.0,1794.0,2782.0,431.0,1384633.0,21218.0,65257613.0,2020-05-21 01:52:27.913081,2.6187869999999998,47.824905,91486.0,0.30750060118488076,0.1549332231860113,0.03895944063567689,0.006036111711209486,Last 8 columns are added by Roaya
7,8.0,Germany,178531,0.0,8270.0,0.0,156900.0,13361.0,1045.0,2132.0,99.0,3595059.0,42924.0,83754315.0,2020-05-21 01:52:27.913081,10.38578051,51.10698181,165170.0,0.05006962523460677,0.04632248741114989,0.0703378747545499,0.0032582253178446755,Last 8 columns are added by Roaya
8,9.0,Turkey,152587,0.0,4222.0,0.0,113987.0,34378.0,877.0,1811.0,50.0,1696355.0,20138.0,84235031.0,2020-05-21 01:52:27.913081,35.16895346,39.0616029,118209.0,0.03571640061247452,0.02766946070110822,0.050339467438763635,0.0013928659160115872,Last 8 columns are added by Roaya
9,10.0,Iran,126949,0.0,7183.0,0.0,98808.0,20958.0,2735.0,1514.0,86.0,731213.0,8719.0,83868516.0,2020-05-21 01:52:27.913081,54.27407004,32.57503292,105991.0,0.06776990499193328,0.05658177693404438,0.045136415106311674,0.002553898571147758,Last 8 columns are added by Roaya
10,11.0,India,112442,414.0,3438.0,4.0,45422.0,63582.0,0.0,82.0,2.0,2615920.0,1898.0,1378455853.0,2020-05-21 01:52:27.913081,79.61197609999999,22.88578212,48860.0,0.0703643061809251,0.03057576350474022,0.020807099113079302,0.0006361929417012027,Last 8 columns are added by Roaya
11,12.0,Peru,104020,0.0,3024.0,0.0,41968.0,59028.0,869.0,3160.0,92.0,715423.0,21733.0,32918409.0,2020-05-21 01:52:27.913081,-74.38242685,-9.15280381,44992.0,0.06721194879089616,0.029071332436069987,0.019159905920910027,0.0005570039944706011,Last 8 columns are added by Roaya
12,13.0,Canada,80142,0.0,6031.0,0.0,40776.0,33335.0,502.0,2126.0,160.0,1375126.0,36471.0,37704575.0,2020-05-21 01:52:27.913081,-98.30777028,61.36206324,46807.0,0.1288482491934967,0.0752539242843952,0.01993282620110321,0.00150002339371183,Last 8 columns are added by Roaya
13,14.0,Saudi Arabia,62545,0.0,339.0,0.0,33478.0,28728.0,276.0,1800.0,10.0,636178.0,18307.0,34750295.0,2020-05-21 01:52:27.913081,44.53686271,24.12245841,33817.0,0.010024543868468521,0.005420097529778559,0.014401016592447866,7.805491445902673e-05,Last 8 columns are added by Roaya
14,15.0,Mexico,56594,2248.0,6090.0,424.0,38876.0,11628.0,378.0,439.0,47.0,185755.0,1442.0,128777650.0,2020-05-21 01:52:27.913081,-102.5234517,23.94753724,44966.0,0.13543566250055597,0.10760858041488497,0.019148833784664837,0.002060578820168372,Last 8 columns are added by Roaya
15,16.0,Belgium,55983,0.0,9150.0,0.0,14847.0,31986.0,313.0,4833.0,790.0,720228.0,62174.0,11584014.0,2020-05-21 01:52:27.913081,4.64065114,50.63981576,23997.0,0.38129766220777594,0.16344247360805958,0.010219155902917805,0.0016702441189592897,Last 8 columns are added by Roaya
16,17.0,Chile,53617,0.0,544.0,0.0,22504.0,30569.0,904.0,2808.0,28.0,409669.0,21451.0,19097583.0,2020-05-21 01:52:27.913081,-71.38256213,-37.73070989,23048.0,0.023602915654286707,0.010146035772236418,0.009815022929968312,9.95835737527792e-05,Last 8 columns are added by Roaya
17,18.0,Pakistan,48091,2193.0,1017.0,32.0,14155.0,32919.0,111.0,218.0,5.0,429600.0,1949.0,220380264.0,2020-05-21 01:52:27.913081,69.33957937,29.9497515,15172.0,0.0670313735829159,0.021147408038926202,0.006461017350463348,0.0001366337702568303,Last 8 columns are added by Roaya
18,19.0,Netherlands,44447,0.0,5748.0,0.0,0.0,0.0,275.0,2595.0,336.0,302395.0,17652.0,17130699.0,2020-05-21 01:52:27.913081,5.28144793,52.100789899999995,5748.0,1.0,0.12932256395257272,0.0024477938129754363,0.00031655497192122767,Last 8 columns are added by Roaya
19,20.0,Qatar,37097,0.0,16.0,0.0,6600.0,30481.0,172.0,12902.0,6.0,170437.0,59276.0,2875313.0,2020-05-21 01:52:27.913081,51.18479632,25.30601188,6616.0,0.0024183796856106408,0.00043130172251125426,0.002817432823007218,1.2151636296227589e-06,Last 8 columns are added by Roaya
20,21.0,Ecuador,34854,0.0,2888.0,0.0,3557.0,28409.0,191.0,1979.0,164.0,100248.0,5692.0,17611696.0,2020-05-21 01:52:27.913081,-78.75201922,-1.42381612,6445.0,0.44809930178432894,0.08285992999368795,0.0027446122346253808,0.0002274183776208785,Last 8 columns are added by Roaya
21,22.0,Belarus,32426,0.0,179.0,0.0,11415.0,20832.0,92.0,3431.0,19.0,387673.0,41025.0,9449661.0,2020-05-21 01:52:27.913081,28.03209307,53.53131377,11594.0,0.015439020182853199,0.005520261518534509,0.004937321062567364,2.7255303466340533e-05,Last 8 columns are added by Roaya
22,23.0,Sweden,31523,0.0,3831.0,0.0,4971.0,22721.0,352.0,3124.0,380.0,209900.0,20798.0,10092199.0,2020-05-21 01:52:27.913081,16.74558049,62.77966519,8802.0,0.43524199045671436,0.12153031120134505,0.0037483439703914043,0.0004555374092113527,Last 8 columns are added by Roaya
23,24.0,Switzerland,30658,0.0,1892.0,0.0,27800.0,966.0,55.0,3545.0,219.0,355393.0,41098.0,8647484.0,2020-05-21 01:52:27.913081,8.20867471,46.79785878,29692.0,0.06372086757375724,0.06171309283058256,0.012644379592008814,0.0007803237715467635,Last 8 columns are added by Roaya
24,25.0,Portugal,29660,0.0,1263.0,0.0,6452.0,21945.0,93.0,2908.0,124.0,674000.0,66079.0,10199902.0,2020-05-21 01:52:27.913081,-8.50104361,39.59550671,7715.0,0.16370706416072586,0.042582602832097104,0.003285443505063586,0.0001399027359034157,Last 8 columns are added by Roaya
25,26.0,Singapore,29364,0.0,22.0,0.0,11207.0,18135.0,11.0,5024.0,4.0,294414.0,50369.0,5845139.0,2020-05-21 01:52:27.913081,103.8172559,1.35876087,11229.0,0.0019592127526939177,0.0007492167279662172,0.004781885303740636,3.5826684607783e-06,Last 8 columns are added by Roaya
26,27.0,Bangladesh,26738,0.0,386.0,0.0,5207.0,21145.0,1.0,163.0,2.0,203852.0,1239.0,164502000.0,2020-05-21 01:52:27.913081,90.23812743,23.86731158,5593.0,0.06901483997854461,0.014436382676340788,0.0023817868468983326,3.438438637529944e-05,Last 8 columns are added by Roaya
27,28.0,UAE,26004,0.0,233.0,0.0,11809.0,13962.0,1.0,2633.0,24.0,1600923.0,162092.0,9876618.0,2020-05-21 01:52:27.913081,54.300167099999996,23.90528188,12042.0,0.01934894535791397,0.008960159975388403,0.005128102487099897,4.594861865460222e-05,Last 8 columns are added by Roaya
28,29.0,Ireland,24315,0.0,1571.0,0.0,21060.0,1684.0,54.0,4931.0,319.0,295626.0,59947.0,4931451.0,2020-05-21 01:52:27.913081,-8.13793569,53.17544870000001,22631.0,0.06941805488047369,0.06461032284597985,0.009637442898651202,0.00062267829709155,Last 8 columns are added by Roaya
29,30.0,Poland,19739,0.0,962.0,0.0,8183.0,10594.0,160.0,521.0,25.0,674861.0,17829.0,37851101.0,2020-05-21 01:52:27.913081,19.39012835,52.12759564,9145.0,0.10519409513395298,0.04873600486346826,0.003894410998549124,0.0001897980333656344,Last 8 columns are added by Roaya
30,31.0,Ukraine,19230,0.0,564.0,0.0,5955.0,12711.0,245.0,439.0,13.0,248529.0,5679.0,43761557.0,2020-05-21 01:52:27.913081,31.38326469,48.99656673,6519.0,0.08651633686148182,0.029329173166926677,0.0027761252377847723,8.142145783206508e-05,Last 8 columns are added by Roaya
31,32.0,Indonesia,19189,0.0,1242.0,0.0,4575.0,13372.0,0.0,70.0,5.0,211883.0,776.0,273192339.0,2020-05-21 01:52:27.913081,117.24011370000001,-2.21505456,5817.0,0.21351211964930378,0.06472458179165147,0.002477177559164599,0.00016033428154059264,Last 8 columns are added by Roaya
32,33.0,South Africa,18003,0.0,339.0,0.0,8950.0,8714.0,119.0,304.0,6.0,506861.0,8559.0,59222219.0,2020-05-21 01:52:27.913081,25.08390093,-29.00034095,9289.0,0.03649477877058887,0.018830194967505414,0.003955733599291724,7.44872349141751e-05,Last 8 columns are added by Roaya
33,34.0,Colombia,17687,0.0,630.0,0.0,4256.0,12801.0,136.0,348.0,12.0,214536.0,4221.0,50820749.0,2020-05-21 01:52:27.913081,-73.08114582,3.91383431,4886.0,0.12893982808022922,0.0356193814666139,0.00208070991130793,7.411360005224154e-05,Last 8 columns are added by Roaya
34,35.0,Kuwait,17568,0.0,124.0,0.0,4885.0,12559.0,167.0,4121.0,29.0,256314.0,60123.0,4263192.0,2020-05-21 01:52:27.913081,47.58700459,29.33431262,5009.0,0.024755440207626274,0.007058287795992714,0.0021330896327755675,1.5055960522778369e-05,Last 8 columns are added by Roaya
35,36.0,Romania,17387,0.0,1147.0,0.0,10356.0,5884.0,198.0,903.0,60.0,332487.0,17271.0,19251223.0,2020-05-21 01:52:27.913081,24.97293039,45.85243127,11503.0,0.0997131183169608,0.06596882728475298,0.004898568585709194,0.0003231528249731665,Last 8 columns are added by Roaya
