,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
date,2020-1-22,2020-1-23,2020-1-24,2020-1-25,2020-1-26,2020-1-27,2020-1-28,2020-1-29,2020-1-30,2020-1-31,2020-2-1,2020-2-2,2020-2-3,2020-2-4,2020-2-5,2020-2-6,2020-2-7,2020-2-8,2020-2-9,2020-2-10,2020-2-11,2020-2-12,2020-2-13,2020-2-14,2020-2-15,2020-2-16,2020-2-17,2020-2-18,2020-2-19,2020-2-20,2020-2-21,2020-2-22,2020-2-23,2020-2-24,2020-2-25,2020-2-26,2020-2-27,2020-2-28,2020-2-29,2020-3-1,2020-3-2,2020-3-3,2020-3-4,2020-3-5,2020-3-6,2020-3-7,2020-3-8,2020-3-9,2020-3-10,2020-3-11,2020-3-12,2020-3-13,2020-3-14,2020-3-15,2020-3-16,2020-3-17,2020-3-18,2020-3-19,2020-3-20,2020-3-21,2020-3-22,2020-3-23,2020-3-24,2020-3-25,2020-3-26,2020-3-27
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.25,1.4,1.0,1.0,1.5714285714285714,1.4545454545454546,1.3125,1.0476190476190477,1.0,1.0,1.0909090909090908,1.0,1.6666666666666667,1.0,1.85,1.135135135135135,1.119047619047619,1.1702127659574468
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.2,1.9166666666666667,1.434782608695652,1.1515151515151516,1.105263157894737,1.2142857142857142,1.0784313725490196,1.0727272727272728,1.0847457627118644,1.09375,1.0857142857142856,1.1710526315789473,1.1685393258426966,1.1826923076923077,1.1869918699186992,1.1917808219178083,1.0689655172413792
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.6666666666666667,2.4,1.0,1.4166666666666667,1.0,1.1176470588235294,1.0526315789473684,1.0,1.0,1.2,1.0833333333333333,1.4230769230769231,1.2972972972972974,1.125,1.1111111111111112,1.2333333333333334,1.1756756756756757,1.0344827586206897,1.5444444444444445,1.4460431654676258,1.144278606965174,1.1478260869565218,1.143939393939394,1.2152317880794703,1.1144414168937329
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,19.5,1.0,1.358974358974359,1.4150943396226414,1.1733333333333333,1.2840909090909092,1.176991150442478,1.2330827067669172,1.146341463414634,1.1914893617021276,1.1919642857142858
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,1.0,1.0,1.3333333333333333,1.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.3333333333333335,1.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.5,1.0,1.4166666666666667,1.1176470588235294,1.0,1.631578947368421,1.096774193548387,1.3235294117647058,1.2444444444444445,1.2142857142857142,1.161764705882353,1.2278481012658229,1.3195876288659794,1.234375,1.6835443037974684,1.131578947368421,1.2857142857142858,1.0,1.297157622739018,1.1733067729083666
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.25,1.4444444444444444,2.0,1.5,1.0769230769230769,1.369047619047619,1.182608695652174,1.1764705882352942,1.2125,1.211340206185567,1.0595744680851065,1.0642570281124497,1.0943396226415094,1.1344827586206896
Australia,0.0,0.0,0.0,0.0,4.0,1.25,1.0,1.2,1.5,1.0,1.3333333333333333,1.0,1.0,1.0833333333333333,1.0,1.0769230769230769,1.0714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,1.08,1.1111111111111112,1.3,1.3333333333333333,1.0576923076923077,1.0909090909090908,1.05,1.2063492063492063,1.1973684210526316,1.1758241758241759,1.1962616822429906,1.0,1.5625,1.25,1.188,1.2693602693602695,1.1989389920424403,1.2566371681415929,1.198943661971831,1.1615271659324522,1.3539823008849559,1.446311858076564,1.0858618463524854,1.2152199762187872,1.1565557729941291,1.1886632825719121,1.1185053380782919
