,country,growth_factor,cases,analysis,growth_factor_mod,new_cases
0,Afghanistan,1.1785714285714286,906.0,COVID-19 Spread is Possibly Getting Under Control!,0.9892857142857143,66.0
1,Albania,0.875,539.0,COVID-19 Spread is Starting To Get Outta Hands!,1.069078947368421,21.0
2,Algeria,1.3888888888888888,2418.0,COVID-19 Spread is Starting To Get Outta Hands!,1.2944444444444443,150.0
3,Andorra,23.0,696.0,COVID-19 Spread Has Gotten Out of Control!,11.5,23.0
4,Angola,0.0,19.0,COVID-19 Spread Can Be Contained!,0.0,0.0
5,Antigua and Barbuda,0.0,23.0,COVID-19 Spread Can Be Contained!,0.0,0.0
6,Argentina,0.765625,2669.0,COVID-19 Spread is Possibly Getting Under Control!,0.7683546686746988,98.0
7,Armenia,0.875,1201.0,COVID-19 Spread is Possibly Getting Under Control!,0.9829545454545454,42.0
8,Australia,2.727272727272727,6522.0,COVID-19 Spread Has Gotten Out of Control!,1.8036363636363635,60.0
9,Austria,0.85,14595.0,Analysis is Pending Additional Data,1.0613636363636363,119.0
10,Azerbaijan,1.9,1340.0,COVID-19 Spread is Starting To Get Outta Hands!,1.2178571428571427,57.0
11,Bahamas,0.25,54.0,COVID-19 Spread Can Be Contained!,2.125,1.0
12,Bahrain,1.3793103448275863,1740.0,COVID-19 Spread is Possibly Getting Under Control!,0.7910537738123945,40.0
13,Bangladesh,0.7800586510263929,1838.0,COVID-19 Spread is Starting To Get Outta Hands!,1.1685681382985846,266.0
14,Barbados,0.0,75.0,COVID-19 Spread Can Be Contained!,1.0,0.0
15,Belarus,1.2079831932773109,4779.0,COVID-19 Spread Has Gotten Out of Control!,1.1364300753858592,575.0
16,Belgium,1.075242718446602,36138.0,COVID-19 Spread Has Gotten Out of Control!,0.7894551000545968,1329.0
17,Benin,0.0,35.0,COVID-19 Spread Can Be Contained!,0.0,0.0
18,Bhutan,0.0,5.0,COVID-19 Spread Can Be Contained!,0.0,0.0
19,Bolivia,0.5454545454545454,465.0,COVID-19 Spread is Possibly Getting Under Control!,0.7843551797040169,24.0
20,Bosnia and Herzegovina,0.8245614035087719,1214.0,COVID-19 Spread is Starting To Get Outta Hands!,1.4678362573099415,47.0
21,Brazil,1.5472684085510688,33682.0,COVID-19 Spread Has Gotten Out of Control!,1.1178134063684055,3257.0
22,Brunei,0.0,136.0,COVID-19 Spread Can Be Contained!,0.0,0.0
23,Bulgaria,0.8679245283018868,846.0,COVID-19 Spread is Starting To Get Outta Hands!,1.2133740288568258,46.0
24,Burkina Faso,2.75,557.0,COVID-19 Spread is Starting To Get Outta Hands!,1.5178571428571428,11.0
25,Cabo Verde,0.0,56.0,COVID-19 Spread Can Be Contained!,0.0,0.0
26,Cambodia,0.0,122.0,COVID-19 Spread Can Be Contained!,0.0,0.0
27,Cameroon,0.0,996.0,COVID-19 Spread Can Be Contained!,74.0,0.0
28,Canada,0.7711538461538462,32813.0,COVID-19 Spread Has Gotten Out of Control!,1.4929023063818634,2005.0
29,Central African Republic,0.0,12.0,COVID-19 Spread Can Be Contained!,0.0,0.0
30,Chad,0.0,27.0,COVID-19 Spread Can Be Contained!,2.0,0.0
31,Chile,0.8333333333333334,9252.0,COVID-19 Spread Has Gotten Out of Control!,1.1666666666666667,445.0
32,China,7.595744680851064,83760.0,COVID-19 Spread Has Gotten Out of Control!,4.267872340425532,357.0
33,Colombia,1.609375,3439.0,COVID-19 Spread Has Gotten Out of Control!,1.312624007936508,206.0
34,Congo (Brazzaville),26.0,143.0,COVID-19 Spread Has Gotten Out of Control!,13.0,26.0
35,Congo (Kinshasa),1.5384615384615385,287.0,COVID-19 Spread is Starting To Get Outta Hands!,1.2692307692307692,20.0
36,Costa Rica,0.4375,649.0,COVID-19 Spread is Starting To Get Outta Hands!,1.21875,7.0
37,Cote d'Ivoire,2.125,688.0,COVID-19 Spread Has Gotten Out of Control!,9.0625,34.0
38,Croatia,0.46,1814.0,COVID-19 Spread is Possibly Getting Under Control!,0.9056756756756756,23.0
39,Diamond Princess,0.0,712.0,COVID-19 Spread Can Be Contained!,0.0,0.0
40,Cuba,1.2708333333333333,923.0,COVID-19 Spread is Starting To Get Outta Hands!,1.1354166666666665,61.0
41,Cyprus,0.75,750.0,COVID-19 Spread is Possibly Getting Under Control!,0.875,15.0
42,Czechia,0.5345622119815668,6549.0,Analysis is Pending Additional Data,1.3006144393241168,116.0
43,Denmark,0.9797979797979798,7268.0,Analysis is Pending Additional Data,1.0722519310754606,194.0
44,Djibouti,0.9038461538461539,732.0,COVID-19 Spread is Starting To Get Outta Hands!,1.5352564102564101,141.0
45,Dominican Republic,2.631205673758865,4126.0,COVID-19 Spread Has Gotten Out of Control!,1.5305418612696764,371.0
46,Ecuador,0.6130790190735694,8450.0,Analysis is Pending Additional Data,1.0261473526740397,225.0
47,Egypt,1.0178571428571428,2844.0,COVID-19 Spread is Starting To Get Outta Hands!,1.0508640552995392,171.0
48,El Salvador,2.6,177.0,COVID-19 Spread is Starting To Get Outta Hands!,1.55,13.0
49,Equatorial Guinea,28.0,79.0,COVID-19 Spread Has Gotten Out of Control!,14.0,28.0
50,Eritrea,0.0,35.0,COVID-19 Spread Can Be Contained!,0.0,0.0
51,Estonia,0.7352941176470589,1459.0,COVID-19 Spread is Possibly Getting Under Control!,0.9972766884531591,25.0
52,Eswatini,0.0,16.0,COVID-19 Spread Can Be Contained!,0.5,0.0
53,Ethiopia,0.5714285714285714,96.0,COVID-19 Spread Can Be Contained!,1.4523809523809526,4.0
