,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,188530,0.0,3889.0,0.0,7251.0,177390,4576.0,570.0,12.0,Jan 20
1,Italy,105792,0.0,12428.0,0.0,15729.0,77635,4023.0,1750.0,206.0,Jan 29
2,Spain,95923,0.0,8464.0,0.0,19259.0,68200,5607.0,2052.0,181.0,Jan 30
3,Germany,71808,0.0,775.0,0.0,16100.0,54933,2675.0,857.0,9.0,Jan 26
4,France,52128,0.0,3523.0,0.0,9444.0,39161,5565.0,799.0,54.0,Jan 23
5,Iran,44605,0.0,2898.0,0.0,14656.0,27051,3703.0,531.0,35.0,Feb 18
6,UK,25150,0.0,1789.0,0.0,135.0,23226,163.0,370.0,26.0,Jan 30
7,Switzerland,16605,0.0,433.0,0.0,1823.0,14349,301.0,1919.0,50.0,Feb 24
8,Turkey,13531,0.0,214.0,0.0,243.0,13074,622.0,160.0,3.0,Mar 09
9,Belgium,12775,0.0,705.0,0.0,1696.0,10374,1021.0,1102.0,61.0,Feb 03
10,Netherlands,12595,0.0,1039.0,0.0,250.0,11306,1053.0,735.0,61.0,Feb 26
11,Austria,10180,0.0,128.0,0.0,1095.0,8957,198.0,1130.0,14.0,Feb 24
12,S. Korea,9887,101.0,165.0,3.0,5567.0,4155,55.0,193.0,3.0,Jan 19
13,Canada,8612,0.0,101.0,0.0,1242.0,7269,120.0,228.0,3.0,Jan 24
14,Portugal,7443,0.0,160.0,0.0,43.0,7240,188.0,730.0,16.0,Mar 01
15,Brazil,5717,0.0,201.0,0.0,127.0,5389,296.0,27.0,0.9,Feb 24
16,Israel,5358,0.0,20.0,0.0,224.0,5114,94.0,619.0,2.0,Feb 20
17,Australia,4763,0.0,20.0,0.0,345.0,4398,28.0,187.0,0.8,Jan 24
18,Norway,4641,0.0,39.0,0.0,13.0,4589,97.0,856.0,7.0,Feb 25
19,Sweden,4435,0.0,180.0,0.0,16.0,4239,358.0,439.0,18.0,Jan 30
20,Czechia,3308,0.0,31.0,0.0,45.0,3232,64.0,309.0,3.0,Feb 29
21,Ireland,3235,0.0,71.0,0.0,5.0,3159,103.0,655.0,14.0,Feb 28
22,Denmark,2860,0.0,90.0,0.0,1.0,2769,145.0,494.0,16.0,Feb 26
23,Malaysia,2766,0.0,43.0,0.0,537.0,2186,94.0,85.0,1.0,Jan 24
24,Chile,2738,0.0,12.0,0.0,156.0,2570,14.0,143.0,0.6,Mar 02
25,Russia,2337,0.0,17.0,0.0,121.0,2199,8.0,16.0,0.1,Jan 30
26,Poland,2311,0.0,33.0,0.0,7.0,2271,50.0,61.0,0.9,Mar 03
27,Ecuador,2302,0.0,79.0,0.0,58.0,2165,100.0,130.0,4.0,Feb 28
28,Romania,2245,0.0,82.0,0.0,220.0,1943,62.0,117.0,4.0,Feb 25
29,Japan,2229,0.0,66.0,0.0,424.0,1739,69.0,18.0,0.5,Jan 14
30,Luxembourg,2178,0.0,23.0,0.0,80.0,2075,31.0,3479.0,37.0,Feb 28
31,Philippines,2084,0.0,88.0,0.0,49.0,1947,1.0,19.0,0.8,Jan 29
32,Pakistan,1938,0.0,26.0,0.0,76.0,1836,12.0,9.0,0.1,Feb 25
33,Thailand,1651,0.0,10.0,0.0,342.0,1299,23.0,24.0,0.1,Jan 12
34,Saudi Arabia,1563,0.0,10.0,0.0,165.0,1388,31.0,45.0,0.3,Mar 01
35,Indonesia,1528,0.0,136.0,0.0,81.0,1311,0.0,6.0,0.5,Mar 01
36,Finland,1418,0.0,17.0,0.0,10.0,1391,56.0,256.0,3.0,Jan 28
37,India,1397,0.0,35.0,0.0,123.0,1239,0.0,1.0,0.03,Jan 29
38,South Africa,1353,0.0,5.0,0.0,31.0,1317,7.0,23.0,0.08,Mar 04
39,Greece,1314,0.0,49.0,0.0,52.0,1213,72.0,126.0,5.0,Feb 25
40,Mexico,1215,121.0,29.0,1.0,35.0,1151,1.0,9.0,0.2,Feb 27
41,Panama,1181,0.0,30.0,0.0,9.0,1142,50.0,274.0,7.0,Mar 09
42,Iceland,1135,0.0,2.0,0.0,198.0,935,11.0,3326.0,6.0,Feb 27
43,Dominican Republic,1109,0.0,51.0,0.0,5.0,1053,0.0,102.0,5.0,Feb 29
44,Peru,1065,0.0,30.0,0.0,394.0,641,49.0,32.0,0.9,Mar 05
45,Argentina,1054,0.0,27.0,0.0,240.0,787,0.0,23.0,0.6,Mar 02
46,Singapore,926,0.0,3.0,0.0,240.0,683,22.0,158.0,0.5,Jan 22
47,Colombia,906,0.0,16.0,0.0,31.0,859,35.0,18.0,0.3,Mar 05
48,Serbia,900,0.0,23.0,0.0,42.0,835,62.0,103.0,3.0,Mar 05
49,Croatia,867,0.0,6.0,0.0,67.0,794,32.0,211.0,1.0,Feb 24
50,Slovenia,802,0.0,15.0,0.0,10.0,777,24.0,386.0,7.0,Mar 03
51,Qatar,781,0.0,2.0,0.0,62.0,717,6.0,271.0,0.7,Feb 28
52,Estonia,745,0.0,4.0,0.0,26.0,715,13.0,562.0,3.0,Feb 26
53,Algeria,716,0.0,44.0,0.0,46.0,626,0.0,16.0,1.0,Feb 24
54,Hong Kong,715,0.0,4.0,0.0,128.0,583,5.0,95.0,0.5,Jan 22
55,Diamond Princess,712,0.0,10.0,0.0,603.0,99,15.0,0.0,0.0,Feb 04
56,Egypt,710,0.0,46.0,0.0,157.0,507,0.0,7.0,0.4,Feb 13
57,New Zealand,708,61.0,1.0,0.0,83.0,624,2.0,147.0,0.2,Feb 27
58,Iraq,694,0.0,50.0,0.0,170.0,474,0.0,17.0,1.0,Feb 21
59,UAE,664,0.0,6.0,0.0,61.0,597,2.0,67.0,0.6,Jan 28
60,Ukraine,645,0.0,17.0,0.0,10.0,618,0.0,15.0,0.4,Mar 02
61,Morocco,617,0.0,36.0,0.0,24.0,557,1.0,17.0,1.0,Mar 01
62,Bahrain,567,0.0,4.0,0.0,295.0,268,2.0,333.0,2.0,Feb 23
63,Lithuania,537,0.0,8.0,0.0,7.0,522,27.0,197.0,3.0,Feb 27
64,Armenia,532,0.0,3.0,0.0,30.0,499,30.0,180.0,1.0,Feb 29
65,Hungary,492,0.0,16.0,0.0,37.0,439,6.0,51.0,2.0,Mar 03
66,Lebanon,470,0.0,12.0,0.0,37.0,421,7.0,69.0,2.0,Feb 20
67,Bosnia and Herzegovina,420,0.0,13.0,0.0,17.0,390,1.0,128.0,4.0,Mar 04
68,Bulgaria,399,0.0,8.0,0.0,17.0,374,14.0,57.0,1.0,Mar 06
69,Latvia,398,0.0,0.0,0.0,1.0,397,3.0,211.0,0.0,Mar 01
70,Tunisia,394,0.0,10.0,0.0,3.0,381,10.0,33.0,0.8,Mar 01
71,Andorra,376,0.0,12.0,0.0,10.0,354,12.0,4866.0,155.0,Mar 01
72,Slovakia,363,0.0,0.0,0.0,3.0,360,1.0,66.0,0.0,Mar 05
73,Moldova,353,0.0,4.0,0.0,18.0,331,44.0,88.0,1.0,Mar 06
74,Costa Rica,347,0.0,2.0,0.0,4.0,341,8.0,68.0,0.4,Mar 04
75,Kazakhstan,343,0.0,2.0,0.0,24.0,317,6.0,18.0,0.1,Mar 12
76,Uruguay,338,0.0,1.0,0.0,41.0,296,12.0,97.0,0.3,Mar 12
77,North Macedonia,329,0.0,9.0,0.0,12.0,308,4.0,158.0,4.0,Feb 25
78,Taiwan,322,0.0,5.0,0.0,39.0,278,0.0,14.0,0.2,Jan 20
79,Azerbaijan,298,0.0,5.0,0.0,26.0,267,11.0,29.0,0.5,Feb 27
80,Kuwait,289,0.0,0.0,0.0,73.0,216,13.0,68.0,0.0,Feb 23
81,Jordan,274,0.0,5.0,0.0,30.0,239,5.0,27.0,0.5,Mar 01
82,Cyprus,262,0.0,8.0,0.0,23.0,231,3.0,217.0,7.0,Mar 08
83,Burkina Faso,261,0.0,14.0,0.0,32.0,215,0.0,12.0,0.7,Mar 08
84,Réunion,247,0.0,0.0,0.0,1.0,246,4.0,276.0,0.0,Mar 10
85,Albania,243,0.0,15.0,0.0,52.0,176,8.0,84.0,5.0,Mar 07
86,San Marino,236,0.0,26.0,0.0,13.0,197,16.0,6955.0,766.0,Feb 26
87,Vietnam,212,0.0,0.0,0.0,58.0,154,3.0,2.0,0.0,Jan 22
88,Cameroon,193,0.0,6.0,0.0,5.0,182,0.0,7.0,0.2,Mar 05
89,Oman,192,0.0,1.0,0.0,34.0,157,3.0,38.0,0.2,Feb 23
90,Cuba,186,0.0,6.0,0.0,8.0,172,3.0,16.0,0.5,Mar 10
91,Ivory Coast,179,0.0,1.0,0.0,7.0,171,0.0,7.0,0.04,Mar 10
92,Senegal,175,0.0,0.0,0.0,40.0,135,0.0,10.0,0.0,Mar 01
93,Afghanistan,174,0.0,4.0,0.0,5.0,165,0.0,4.0,0.1,Feb 23
94,Uzbekistan,172,0.0,2.0,0.0,7.0,163,8.0,5.0,0.06,Mar 14
95,Faeroe Islands,169,0.0,0.0,0.0,74.0,95,3.0,3459.0,0.0,Mar 03
96,Malta,169,0.0,0.0,0.0,2.0,167,2.0,383.0,0.0,Mar 06
97,Ghana,161,0.0,5.0,0.0,31.0,125,1.0,5.0,0.2,Mar 11
98,Belarus,152,0.0,1.0,0.0,47.0,104,2.0,16.0,0.1,Feb 27
99,Mauritius,143,0.0,5.0,0.0,0.0,138,1.0,112.0,4.0,Mar 17
100,Sri Lanka,143,0.0,2.0,0.0,17.0,124,5.0,7.0,0.09,Jan 26
101,Honduras,141,0.0,7.0,0.0,3.0,131,4.0,14.0,0.7,Mar 10
102,Channel Islands,141,0.0,3.0,0.0,0.0,138,0.0,811.0,17.0,Mar 08
103,Venezuela,135,0.0,3.0,0.0,39.0,93,6.0,5.0,0.1,Mar 12
104,Nigeria,135,0.0,2.0,0.0,8.0,125,0.0,0.7,0.01,Feb 27
105,Brunei,129,0.0,1.0,0.0,45.0,83,3.0,295.0,2.0,Mar 08
106,Martinique,128,0.0,3.0,0.0,27.0,98,15.0,341.0,8.0,Mar 04
107,Palestine,119,0.0,1.0,0.0,18.0,100,0.0,23.0,0.2,Mar 04
108,Bolivia,115,8.0,7.0,1.0,0.0,108,3.0,10.0,0.6,Mar 09
109,Guadeloupe,114,0.0,4.0,0.0,22.0,88,14.0,285.0,10.0,Mar 12
110,Georgia,110,0.0,0.0,0.0,21.0,89,6.0,28.0,0.0,Feb 25
111,Montenegro,109,0.0,2.0,0.0,0.0,107,1.0,174.0,3.0,Mar 16
112,Cambodia,109,0.0,0.0,0.0,23.0,86,1.0,7.0,0.0,Jan 26
113,Kyrgyzstan,107,0.0,0.0,0.0,3.0,104,0.0,16.0,0.0,Mar 17
114,DRC,98,0.0,8.0,0.0,2.0,88,0.0,1.0,0.09,Mar 09
115,Mayotte,94,0.0,1.0,0.0,10.0,83,3.0,345.0,4.0,Mar 13
116,Trinidad and Tobago,87,0.0,3.0,0.0,1.0,83,0.0,62.0,2.0,Mar 11
117,Rwanda,75,0.0,0.0,0.0,0.0,75,0.0,6.0,0.0,Mar 13
118,Gibraltar,69,0.0,0.0,0.0,34.0,35,0.0,2048.0,0.0,Mar 02
119,Liechtenstein,68,0.0,0.0,0.0,0.0,68,0.0,1783.0,0.0,Mar 02
120,Paraguay,65,0.0,3.0,0.0,1.0,61,3.0,9.0,0.4,Mar 06
121,Isle of Man,60,0.0,0.0,0.0,0.0,60,0.0,706.0,0.0,Mar 18
122,Kenya,59,0.0,1.0,0.0,1.0,57,2.0,1.0,0.02,Mar 12
123,Madagascar,57,0.0,0.0,0.0,0.0,57,6.0,2.0,0.0,Mar 19
124,Aruba,55,0.0,0.0,0.0,1.0,54,0.0,515.0,0.0,Mar 12
125,Monaco,52,0.0,1.0,0.0,2.0,49,0.0,1325.0,25.0,Feb 27
126,Bangladesh,51,0.0,5.0,0.0,25.0,21,1.0,0.3,0.03,Mar 07
127,French Guiana,51,0.0,0.0,0.0,15.0,36,0.0,171.0,0.0,Mar 06
128,Uganda,44,0.0,0.0,0.0,0.0,44,0.0,1.0,0.0,Mar 20
129,Macao,41,0.0,0.0,0.0,10.0,31,0.0,63.0,0.0,Jan 21
130,Jamaica,38,0.0,2.0,0.0,2.0,34,0.0,13.0,0.7,Mar 09
131,Guatemala,38,0.0,1.0,0.0,12.0,25,1.0,2.0,0.06,Mar 12
132,French Polynesia,37,0.0,0.0,0.0,0.0,37,1.0,132.0,0.0,Mar 10
133,Zambia,36,0.0,0.0,0.0,0.0,36,0.0,2.0,0.0,Mar 17
134,Niger,34,0.0,3.0,0.0,0.0,31,0.0,1.0,0.1,Mar 18
135,Togo,34,0.0,1.0,0.0,10.0,23,0.0,4.0,0.1,Mar 05
136,Barbados,34,0.0,0.0,0.0,0.0,34,0.0,118.0,0.0,Mar 16
137,El Salvador,32,0.0,1.0,0.0,0.0,31,5.0,5.0,0.2,Mar 18
